"route","region","location.bcr","location.statenum","location.routename","nyears_start","nyears_end","complete_coverage","matssname","window","nreq"
2,60,16,60,"NAGEESI",5,5,TRUE,"bbs_rtrg_2_60",4,5
4,17,16,17,"HARMONY",5,5,TRUE,"bbs_rtrg_4_17",4,5
4,60,16,60,"OJO SARCO",5,5,TRUE,"bbs_rtrg_4_60",4,5
9,60,16,60,"LA CIENEGA",5,5,TRUE,"bbs_rtrg_9_60",4,5
11,17,16,17,"CHEESMAN LK",5,5,TRUE,"bbs_rtrg_11_17",4,5
15,85,16,85,"BEAVER",5,5,TRUE,"bbs_rtrg_15_85",4,5
20,60,16,60,"HORSE MTN",5,5,TRUE,"bbs_rtrg_20_60",4,5
31,17,16,17,"WRAY GULCH",5,5,TRUE,"bbs_rtrg_31_17",4,5
41,17,16,17,"TARRYALL",5,5,TRUE,"bbs_rtrg_41_17",4,5
114,60,16,60,"CERRO VERDE",5,5,TRUE,"bbs_rtrg_114_60",4,5
5,92,17,92,"WYARNO",5,5,TRUE,"bbs_rtrg_5_92",4,5
19,53,17,53,"LEROY",5,5,TRUE,"bbs_rtrg_19_53",4,5
29,81,17,81,"CUSTER",5,5,TRUE,"bbs_rtrg_29_81",4,5
35,81,17,81,"MAURINE",5,5,TRUE,"bbs_rtrg_35_81",4,5
36,64,17,64,"BENTLEY",5,5,TRUE,"bbs_rtrg_36_64",4,5
37,64,17,64,"GLEN ULLIN",5,5,TRUE,"bbs_rtrg_37_64",4,5
40,53,17,53,"REED POINT",5,5,TRUE,"bbs_rtrg_40_53",4,5
46,92,17,92,"SODA WELL",5,5,TRUE,"bbs_rtrg_46_92",4,5
68,92,17,92,"RIVERVIEW",5,5,TRUE,"bbs_rtrg_68_92",4,5
120,92,17,92,"WELCH",5,5,TRUE,"bbs_rtrg_120_92",4,5
6,17,18,17,"PINNEO",5,5,TRUE,"bbs_rtrg_6_17",4,5
6,60,18,60,"GRENVILLE",5,5,TRUE,"bbs_rtrg_6_60",4,5
12,38,18,38,"LAKIN",5,5,TRUE,"bbs_rtrg_12_38",4,5
14,17,18,17,"ABARR",5,5,TRUE,"bbs_rtrg_14_17",4,5
17,60,18,60,"COOLEY LAKE",5,5,TRUE,"bbs_rtrg_17_60",4,5
24,60,18,60,"CAPROCK",5,5,TRUE,"bbs_rtrg_24_60",4,5
37,17,18,17,"WAVERLY",5,5,TRUE,"bbs_rtrg_37_17",4,5
40,54,18,54,"MURRAY LAKE",5,5,TRUE,"bbs_rtrg_40_54",4,5
92,83,18,83,"POST",5,5,TRUE,"bbs_rtrg_92_83",4,5
130,60,18,60,"SAN SIMON",5,5,TRUE,"bbs_rtrg_130_60",4,5
6,54,19,54,"KENESAW",5,5,TRUE,"bbs_rtrg_6_54",4,5
