uid,nightuid,namedLocation,domainID,siteID,plotID,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF,publicationDate,release
bd368080-7b7f-4885-af7f-1ae4088734d6,93921C1F88B34230B23DF852120082AA,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2015-08-13,2015-08-13,,,"",,20210113T175556Z,RELEASE-2021
68fe23ce-bdf9-4bc1-ab51-d884c2266d21,260F76C182D9473999B978F326FD21E9,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2015-08-14,2015-08-14,,,"",,20210113T175556Z,RELEASE-2021
b8b5d1e4-e586-4840-bce4-afe91b0998d7,73DF4AE39CB7442A8A952EE0B0011FF1,ORNL_027.mammalGrid.mam,D07,ORNL,ORNL_027,2015-08-14,2015-08-14,,,"",,20210113T175556Z,RELEASE-2021
3b972f49-483f-4834-89c0-d759c228d83a,0C4B40FF6691433B80F75AC113A005B8,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2015-08-14,2015-08-14,,,"",,20210113T175556Z,RELEASE-2021
939c8c1a-a876-47a9-be34-887500f1a599,EC3EB62F362B4DB4A8968AD217743984,ORNL_039.mammalGrid.mam,D07,ORNL,ORNL_039,2015-09-09,2015-09-09,,,used NEON.DOC.00481vG,,20210113T175533Z,RELEASE-2021
dc6cd4fb-bd62-4f3a-8a80-2206cbf32112,249F3A66D3484F77BA45CB93CB4752E5,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2015-09-09,2015-09-09,,,used NEON.DOC000481vG,,20210113T175533Z,RELEASE-2021
7c094292-ca8f-4af0-a5d1-eb32497379a5,B759BC17BAC04072B48FAE3D78FC7BC1,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2015-09-09,2015-09-09,,,used NEON.DOC.000481vG,,20210113T175533Z,RELEASE-2021
c07624e7-b8bf-4d15-a26e-e0274b45ad20,5EF5FEF3E23043568D6FD8BEC9CFDF8E,ORNL_027.mammalGrid.mam,D07,ORNL,ORNL_027,2015-09-09,2015-09-09,,,used NEON.DOC.000481vG,,20210113T175533Z,RELEASE-2021
f808d23f-b902-4e4b-bb06-7d84012d2930,024BD241E134419D84AE296613678121,ORNL_007.mammalGrid.mam,D07,ORNL,ORNL_007,2015-09-09,2015-09-09,,,used NEON.DOC.000481vG,,20210113T175533Z,RELEASE-2021
af96b964-3114-49ef-ae2d-351ce00c82e1,F15B1F4F130B4FB0BD4E3C7C25E7E2E2,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2015-09-09,2015-09-09,,,used NEON.DOC.000481vG,,20210113T175533Z,RELEASE-2021
c6b6d05e-7cc1-4376-8e49-2ff1c42c0d95,D7B1B7EEF02E45CF87E33EF92B861D73,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2015-09-10,2015-09-10,,,used NEON.DOC.000481vG,,20210113T175533Z,RELEASE-2021
e268a250-5e44-46bf-98d6-3586da1ec201,90C86E64F0674D35A97D99EC05DFE70C,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2015-09-10,2015-09-10,,,used NEON.DOC.000481vG,,20210113T175533Z,RELEASE-2021
2ae3a19a-8d69-46bb-bfbd-d7511f1159d2,10EFEA7436B442F2BDB0280FD071A482,ORNL_027.mammalGrid.mam,D07,ORNL,ORNL_027,2015-09-10,2015-09-10,,,used NEON.DOC.000481vG,,20210113T175533Z,RELEASE-2021
787dc5a0-7525-474e-bf58-e486c50c8d4a,7C5E412E692B407086C15C7EBE62CC18,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2015-09-11,2015-09-11,,,used NEON.DOC.000481vG,,20210113T175533Z,RELEASE-2021
d80dd05c-f58e-421d-a412-440f526229f2,D7DC6551D8074BC8B07666DE48C0B5EF,ORNL_027.mammalGrid.mam,D07,ORNL,ORNL_027,2015-09-11,2015-09-11,,,used NEON.DOC.000481vG,,20210113T175533Z,RELEASE-2021
2b38e048-e3a2-4e8a-9f5f-0373c0d16e62,9125E81F31BB452583ECE8B247043A7C,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2015-09-11,2015-09-11,,,used NEON.DOC.000481vG,,20210113T175533Z,RELEASE-2021
