"route","statenum","id"
116,18,"sp5540"
7,18,"sp3490"
8,18,"sp3490"
14,18,"sp3490"
7,18,"sp4280"
8,18,"sp4280"
9,18,"sp4280"
14,18,"sp4280"
116,18,"sp4280"
7,18,"sp3430"
8,18,"sp3430"
9,18,"sp3430"
14,18,"sp3430"
116,18,"sp3430"
7,18,"sp3370"
8,18,"sp3370"
9,18,"sp3370"
14,18,"sp3370"
116,18,"sp3370"
7,18,"sp3470"
8,18,"sp3470"
9,18,"sp3470"
14,18,"sp3470"
116,18,"sp3470"
7,18,"sp3390"
8,18,"sp3390"
9,18,"sp3390"
14,18,"sp3390"
116,18,"sp3390"
7,18,"sp5220"
8,18,"sp5220"
9,18,"sp5220"
14,18,"sp5220"
116,18,"sp5220"
7,18,"sp5360"
8,18,"sp5360"
9,18,"sp5360"
14,18,"sp5360"
116,18,"sp5360"
8,18,"sp4590"
9,18,"sp4590"
116,18,"sp4590"
7,18,"sp7030"
8,18,"sp7030"
9,18,"sp7030"
14,18,"sp7030"
116,18,"sp7030"
7,18,"sp5210"
8,18,"sp5210"
9,18,"sp5210"
14,18,"sp5210"
116,18,"sp5210"
7,18,"sp7210"
8,18,"sp7210"
9,18,"sp7210"
14,18,"sp7210"
116,18,"sp7210"
7,18,"sp7350"
8,18,"sp7350"
9,18,"sp7350"
14,18,"sp7350"
116,18,"sp7350"
7,18,"sp6210"
8,18,"sp6210"
9,18,"sp6210"
14,18,"sp6210"
116,18,"sp6210"
7,18,"sp6310"
8,18,"sp6310"
9,18,"sp6310"
14,18,"sp6310"
116,18,"sp6310"
7,18,"sp6270"
8,18,"sp6270"
9,18,"sp6270"
14,18,"sp6270"
116,18,"sp6270"
7,18,"sp7580"
8,18,"sp7580"
9,18,"sp7580"
14,18,"sp7580"
116,18,"sp7580"
7,18,"sp5460"
8,18,"sp5460"
9,18,"sp5460"
14,18,"sp5460"
116,18,"sp5460"
7,18,"sp5190"
8,18,"sp5190"
9,18,"sp5190"
14,18,"sp5190"
116,18,"sp5190"
8,18,"sp6540"
9,18,"sp6540"
116,18,"sp6540"
7,18,"sp6540"
14,18,"sp6540"
7,18,"sp6600"
8,18,"sp6600"
9,18,"sp6600"
14,18,"sp6600"
116,18,"sp6600"
7,18,"sp6720"
8,18,"sp6720"
9,18,"sp6720"
14,18,"sp6720"
116,18,"sp6720"
7,18,"sp6670"
8,18,"sp6670"
9,18,"sp6670"
14,18,"sp6670"
116,18,"sp6670"
7,18,"sp6480"
8,18,"sp6480"
9,18,"sp6480"
14,18,"sp6480"
116,18,"sp6480"
7,18,"sp5590"
8,18,"sp5590"
9,18,"sp5590"
14,18,"sp5590"
116,18,"sp5590"
7,18,"sp5980"
8,18,"sp5980"
9,18,"sp5980"
14,18,"sp5980"
116,18,"sp5980"
7,18,"sp5930"
8,18,"sp5930"
9,18,"sp5930"
14,18,"sp5930"
116,18,"sp5930"
7,18,"sp7180"
8,18,"sp7180"
9,18,"sp7180"
14,18,"sp7180"
116,18,"sp7180"
7,18,"sp4980"
8,18,"sp4980"
9,18,"sp4980"
14,18,"sp4980"
116,18,"sp4980"
7,18,"sp7560"
8,18,"sp7560"
9,18,"sp7560"
14,18,"sp7560"
116,18,"sp7560"
7,18,"sp5070"
8,18,"sp5070"
9,18,"sp5070"
14,18,"sp5070"
116,18,"sp5070"
7,18,"sp5840"
8,18,"sp5840"
9,18,"sp5840"
14,18,"sp5840"
116,18,"sp5840"
7,18,"sp4950"
