Sequence,Order_,FamilyName,Family,Subfamily,Tribe,CommonName,Scientific,Authority,BirdLifeTa,RedListCat,Synonyms,Alternativ,TaxonomicN,SISRecID
4819,PASSERIFORMES,Conopophagidae,Gnateaters,NA,NA,Ash-throated Gnateater,Conopophaga peruviana,"Des Murs, 1856",R,LC,NA,NA,NA,22703406
4820,PASSERIFORMES,Conopophagidae,Gnateaters,NA,NA,Slaty Gnateater,Conopophaga ardesiaca,"d'Orbigny & Lafresnaye, 1837",R,LC,NA,NA,NA,22703409
4821,PASSERIFORMES,Conopophagidae,Gnateaters,NA,NA,Chestnut-crowned Gnateater,Conopophaga castaneiceps,"Sclater, 1857",R,LC,NA,NA,NA,22703412
4822,PASSERIFORMES,Conopophagidae,Gnateaters,NA,NA,Black-bellied Gnateater,Conopophaga melanogaster,"Ménétries, 1835",R,LC,NA,NA,NA,22703418
4823,PASSERIFORMES,Conopophagidae,Gnateaters,NA,NA,Black-crowned Pittasoma,Pittasoma michleri,"Cassin, 1860",R,LC,NA,Black-crowned Antpitta,NA,22703231
4824,PASSERIFORMES,Conopophagidae,Gnateaters,NA,NA,Rufous-crowned Pittasoma,Pittasoma rufopileatum,"Hartert, 1901",R,NT,NA,Rufous-crowned Antpitta,NA,22703234
4825,PASSERIFORMES,Melanopareiidae,Crescentchests,NA,NA,Collared Crescentchest,Melanopareia torquata,"(Wied, 1831)",R,LC,NA,Collared Crescent-chest,NA,22703449
4826,PASSERIFORMES,Melanopareiidae,Crescentchests,NA,NA,Olive-crowned Crescentchest,Melanopareia maximiliani,"(D'Orbigny, 1835)",R,LC,NA,Olive-crowned Crescent-chest,NA,22703453
4827,PASSERIFORMES,Melanopareiidae,Crescentchests,NA,NA,Maranon Crescentchest,Melanopareia maranonica,"Chapman, 1924",R,NT,NA,"Marañon Crescent-chest, Marañón Crescent-chest, Maranon Crescent-chest",NA,22703463
4828,PASSERIFORMES,Melanopareiidae,Crescentchests,NA,NA,Elegant Crescentchest,Melanopareia elegans,"(Lesson, 1844)",R,LC,NA,Elegant Crescent-chest,NA,22703457
4829,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Undulated Antpitta,Grallaria squamigera,"Prévost & Des Murs, 1842",R,LC,NA,NA,NA,22703237
4830,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Giant Antpitta,Grallaria gigantea,"Lawrence, 1866",R,VU,NA,NA,NA,22703240
4831,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Great Antpitta,Grallaria excelsa,"Berlepsch, 1893",R,VU,NA,NA,NA,22703243
4832,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Variegated Antpitta,Grallaria varia,"(Boddaert, 1783)",R,LC,NA,NA,NA,22703246
4833,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Moustached Antpitta,Grallaria alleni,"Chapman, 1912",R,VU,NA,NA,NA,22703252
4834,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Tachira Antpitta,Grallaria chthonia,"Wetmore & Phelps, 1956",R,CR,NA,Táchira Antpitta,NA,22703255
4835,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Scaled Antpitta,Grallaria guatimalensis,"Prévost & Des Murs, 1842",R,LC,NA,NA,NA,22703249
4836,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Plain-backed Antpitta,Grallaria haplonota,"Sclater, 1877",R,LC,NA,NA,NA,22703259
4837,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Ochre-striped Antpitta,Grallaria dignissima,"(Sclater & Salvin, 1880)",R,LC,NA,NA,NA,22703262
4838,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Elusive Antpitta,Grallaria eludens,"Lowery & O'Neill, 1969",R,LC,NA,NA,NA,22703265
4839,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Chestnut-crowned Antpitta,Grallaria ruficapilla,"Lafresnaye, 1842",R,LC,NA,NA,NA,22703274
4840,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Watkins's Antpitta,Grallaria watkinsi,"Chapman, 1919",R,NT,NA,Scrub Antpitta,NA,22703277
4841,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Santa Marta Antpitta,Grallaria bangsi,"Allen, 1900",R,VU,NA,NA,NA,22703271
4842,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Cundinamarca Antpitta,Grallaria kaestneri,"Stiles, 1992",R,EN,NA,NA,NA,22703268
4843,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Stripe-headed Antpitta,Grallaria andicolus,"(Cabanis, 1873)",R,LC,Grallaria andicola,NA,NA,22703281
4844,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Grey-naped Antpitta,Grallaria griseonucha,"Sclater & Salvin, 1871",R,LC,NA,Gray-naped Antpitta,NA,22703320
4845,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Bicolored Antpitta,Grallaria rufocinerea,"Sclater & Salvin, 1879",R,VU,NA,Bicoloured Antpitta,NA,22703292
4846,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Jocotoco Antpitta,Grallaria ridgelyi,"Krabbe, Agro, Rice, Jacome, Navarrete & Sornoza, 1999",R,EN,NA,NA,NA,22724628
4847,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Chestnut-naped Antpitta,Grallaria nuchalis,"Sclater, 1859",R,LC,NA,NA,NA,22703296
4848,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Pale-billed Antpitta,Grallaria carrikeri,"Schulenberg & Williams, 1982",R,LC,NA,NA,NA,22703299
4849,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,White-throated Antpitta,Grallaria albigula,"Chapman, 1923",R,LC,NA,NA,NA,22703302
4850,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Yellow-breasted Antpitta,Grallaria flavotincta,"Sclater, 1877",R,LC,NA,NA,NA,22703305
4851,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,White-bellied Antpitta,Grallaria hypoleuca,"Sclater, 1855",R,LC,NA,NA,NA,22703308
4852,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Rusty-tinged Antpitta,Grallaria przewalskii,"Taczanowski, 1882",R,VU,NA,NA,NA,22703311
4853,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Bay Antpitta,Grallaria capitalis,"Chapman, 1926",R,LC,NA,NA,NA,22703314
4854,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Red-and-white Antpitta,Grallaria erythroleuca,"Sclater, 1874",R,LC,NA,NA,NA,22703317
4855,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Perija Antpitta,Grallaria saltuensis,"Wetmore, 1946",R,EN,NA,NA,"Grallaria rufula and G. saltuensis (del Hoyo and Collar 2016) were previously lumped as G. rufula following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103660400
4856,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Rufous Antpitta,Grallaria rufula,"Lafresnaye, 1843",R,LC,NA,NA,"Grallaria rufula and G. saltuensis (del Hoyo and Collar 2016) were previously lumped as G. rufula following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103660383
4857,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Chestnut Antpitta,Grallaria blakei,"Graves, 1987",R,NT,NA,NA,NA,22703327
4858,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Western Tawny Antpitta,Grallaria quitensis,"Lesson, 1844",R,LC,NA,NA,"Grallaria quitensis, G. alticola and G. atuensis (del Hoyo and Collar 2016) were previously lumped as G. quitensis following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103660417
4859,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Northern Tawny Antpitta,Grallaria alticola,"Todd, 1919",R,LC,NA,NA,"Grallaria quitensis, G. alticola and G. atuensis (del Hoyo and Collar 2016) were previously lumped as G. quitensis following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103660427
4860,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Southern Tawny Antpitta,Grallaria atuensis,"Carriker, 1933",R,LC,NA,NA,"Grallaria quitensis, G. alticola and G. atuensis (del Hoyo and Collar 2016) were previously lumped as G. quitensis following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103660431
4861,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Urrao Antpitta,Grallaria fenwickorum,"Barrera & Bartels, 2010",R,CR,Grallaria urraoensis,Antioquia Antpitta,NA,22736345
4862,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Brown-banded Antpitta,Grallaria milleri,"Chapman, 1912",R,VU,NA,NA,NA,22703336
4863,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Rufous-faced Antpitta,Grallaria erythrotis,"Sclater & Salvin, 1876",R,LC,NA,NA,NA,22703330
4864,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Streak-chested Antpitta,Hylopezus perspicillatus,"(Lawrence, 1861)",R,LC,NA,Spectacled Antpitta,NA,22703339
4865,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Spotted Antpitta,Hylopezus macularius,"(Temminck, 1823)",R,LC,NA,NA,NA,22724505
4866,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Masked Antpitta,Hylopezus auricularis,"(Gyldenstolpe, 1941)",R,VU,NA,NA,NA,22728454
4867,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Thicket Antpitta,Hylopezus dives,"Salvin, 1865",R,LC,NA,Fulvous-bellied Antpitta,NA,22729072
4868,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,White-lored Antpitta,Hylopezus fulviventris,"(Sclater, 1858)",R,LC,NA,NA,NA,22703343
4869,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Amazonian Antpitta,Hylopezus berlepschi,"(Hellmayr, 1903)",R,LC,NA,NA,NA,22703346
4870,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,White-browed Antpitta,Hylopezus ochroleucus,"(Wied, 1831)",R,NT,NA,NA,NA,22703349
4871,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Speckle-breasted Antpitta,Hylopezus nattereri,"(Pinto, 1937)",R,LC,NA,NA,NA,22703352
4872,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Thrush-like Antpitta,Myrmothera campanisona,"(Hermann, 1783)",R,LC,NA,NA,NA,22703355
4873,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Tepui Antpitta,Myrmothera simplex,"(Salvin & Godman, 1884)",R,LC,NA,Brown-breasted Antpitta,NA,22703358
4874,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Ochre-breasted Antpitta,Grallaricula flavirostris,"(Sclater, 1858)",R,NT,NA,NA,NA,22703362
4875,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Scallop-breasted Antpitta,Grallaricula loricata,"(Sclater, 1857)",R,NT,NA,NA,NA,22703378
4876,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Hooded Antpitta,Grallaricula cucullata,"(Sclater, 1856)",R,VU,NA,NA,NA,22703392
4877,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Peruvian Antpitta,Grallaricula peruviana,"Chapman, 1923",R,NT,NA,NA,NA,22703381
4878,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Ochre-fronted Antpitta,Grallaricula ochraceifrons,"Graves, O'Neill & Parker, 1983",R,EN,NA,Tororoi de Frente Ocrácea,NA,22703384
4879,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Rusty-breasted Antpitta,Grallaricula ferrugineipectus,"(Sclater, 1857)",R,LC,NA,NA,"Grallaricula ferrugineipectus and G. leymebambae (del Hoyo and Collar 2016) were previously lumped as G. ferrugineipectus following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103660906
4880,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Rufous-breasted Antpitta,Grallaricula leymebambae,"Carriker, 1933",R,LC,NA,NA,"Grallaricula ferrugineipectus and G. leymebambae (del Hoyo and Collar 2016) were previously lumped as G. ferrugineipectus following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103660917
4881,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Sucre Antpitta,Grallaricula cumanensis,"Hartert, 1900",R,VU,NA,NA,NA,22736456
4882,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Slate-crowned Antpitta,Grallaricula nana,"(Lafresnaye, 1842)",R,LC,NA,Slaty-crowned Antpitta,NA,22724986
4883,PASSERIFORMES,Grallariidae,Antpittas,NA,NA,Crescent-faced Antpitta,Grallaricula lineifrons,"(Chapman, 1924)",R,LC,NA,NA,NA,22703389
4884,PASSERIFORMES,Rhinocryptidae,Tapaculos,Rhinocryptinae,NA,Chestnut-throated Huet-huet,Pteroptochos castaneus,"Philippi & Landbeck, 1864",R,LC,NA,NA,NA,22703421
4885,PASSERIFORMES,Rhinocryptidae,Tapaculos,Rhinocryptinae,NA,Black-throated Huet-huet,Pteroptochos tarnii,"(King, 1831)",R,LC,NA,NA,NA,22703426
4886,PASSERIFORMES,Rhinocryptidae,Tapaculos,Rhinocryptinae,NA,Moustached Turca,Pteroptochos megapodius,"Kittlitz, 1830",R,LC,NA,NA,NA,22703431
4887,PASSERIFORMES,Rhinocryptidae,Tapaculos,Rhinocryptinae,NA,White-throated Tapaculo,Scelorchilus albicollis,"(Kittlitz, 1830)",R,LC,NA,NA,NA,22703434
4888,PASSERIFORMES,Rhinocryptidae,Tapaculos,Rhinocryptinae,NA,Chucao Tapaculo,Scelorchilus rubecula,"(Kittlitz, 1830)",R,LC,NA,NA,NA,22703437
4889,PASSERIFORMES,Rhinocryptidae,Tapaculos,Rhinocryptinae,NA,Rusty-belted Tapaculo,Liosceles thoracicus,"(Sclater, 1865)",R,LC,NA,NA,NA,22703446
4890,PASSERIFORMES,Rhinocryptidae,Tapaculos,Rhinocryptinae,NA,Spotted Bamboowren,Psilorhamphus guttatus,"(Ménétries, 1835)",R,NT,NA,NA,NA,22703471
4891,PASSERIFORMES,Rhinocryptidae,Tapaculos,Rhinocryptinae,NA,Ocellated Tapaculo,Acropternis orthonyx,"(Lafresnaye, 1843)",R,LC,NA,NA,NA,22703554
4892,PASSERIFORMES,Rhinocryptidae,Tapaculos,Rhinocryptinae,NA,Crested Gallito,Rhinocrypta lanceolata,"(Geoffroy Saint-Hilaire, 1832)",R,LC,NA,NA,NA,22703440
4893,PASSERIFORMES,Rhinocryptidae,Tapaculos,Rhinocryptinae,NA,Sandy Gallito,Teledromas fuscus,"(Sclater & Salvin, 1873)",R,LC,NA,NA,NA,22703443
4894,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Bahia Tapaculo,Eleoscytalopus psychopompus,"(Teixeira & Carnevalli, 1989)",R,EN,Scytalopus psychopompus,Chestnut-sided Tapaculo,NA,22703535
4895,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,White-breasted Tapaculo,Eleoscytalopus indigoticus,"(Wied, 1831)",R,NT,Scytalopus indigoticus,NA,NA,22703546
4896,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Slaty Bristlefront,Merulaxis ater,"Lesson, 1831",R,NT,NA,NA,NA,22703474
4897,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Stresemann's Bristlefront,Merulaxis stresemanni,"Sick, 1960",R,CR,NA,NA,NA,22703477
4898,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Ash-colored Tapaculo,Myornis senilis,"(Lafresnaye, 1840)",R,LC,NA,Ash-coloured Tapaculo,NA,22703483
4899,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Ochre-flanked Tapaculo,Eugralla paradoxa,"(Kittlitz, 1830)",R,LC,NA,NA,NA,22703480
4900,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Blackish Tapaculo,Scytalopus latrans,"Hellmayr, 1924",R,LC,NA,NA,NA,22730438
4901,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Junin Tapaculo,Scytalopus gettyae,"Hosner, Robbins, Valqui & Peterson, 2013",R,NT,NA,NA,Scytalopus gettyae (del Hoyo and Collar 2016) is recognised as a species following work by Hosner et al. (2013).,103660951
4902,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Unicolored Tapaculo,Scytalopus unicolor,"Salvin, 1895",R,LC,NA,Unicoloured Tapaculo,NA,22703487
4903,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Trilling Tapaculo,Scytalopus parvirostris,"Zimmer, 1939",R,LC,NA,NA,NA,22729303
4904,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Rock Tapaculo,Scytalopus petrophilus,"Whitney, Vasconcelos, Silveira & Pacheco, 2010",R,LC,NA,NA,Scytalopus petrophilus (del Hoyo and Collar 2016) is recognised as a species following work by Whitney et al. (2010).,22736340
4905,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Diamantina Tapaculo,Scytalopus diamantinensis,"Bornschein, Maurício, Belmonte-Lopes, Mata & Bonatto, 2007",R,EN,NA,NA,NA,22736188
4906,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Brasilia Tapaculo,Scytalopus novacapitalis,"Sick, 1958",R,EN,NA,Brasília Tapaculo,NA,22703531
4907,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Planalto Tapaculo,Scytalopus pachecoi,"Mauricio, 2005",R,LC,NA,NA,NA,22734687
4908,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Mouse-colored Tapaculo,Scytalopus speluncae,"(Ménétries, 1835)",R,LC,NA,Mouse-coloured Tapaculo,NA,22703527
4909,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Boa Nova Tapaculo,Scytalopus gonzagai,"Nachtigall Maurício, Belmonte-Lopes, Pacheco, Silveira, Whitney & Bornschein, 2014",R,EN,NA,NA,Scytalopus gonzagi (del Hoyo and Collar 2016) is recognised as a species following work by Maurício et al. (2014).,103661238
4910,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Marsh Tapaculo,Scytalopus iraiensis,"Bornschein, Reinert & Pichorim, 1998",R,EN,NA,NA,NA,22728464
4911,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Large-footed Tapaculo,Scytalopus macropus,"Berlepsch & Stolzmann, 1896",R,LC,NA,NA,NA,22703493
4912,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Santa Marta Tapaculo,Scytalopus sanctaemartae,"Chapman, 1915",R,LC,Scytalopus sanctaemariae,NA,NA,22729258
4913,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Long-tailed Tapaculo,Scytalopus micropterus,"(P.L. Sclater, 1858)",R,LC,NA,NA,NA,22733272
4914,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Rufous-vented Tapaculo,Scytalopus femoralis,"(Tschudi, 1844)",R,LC,NA,NA,NA,22703496
4915,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,White-crowned Tapaculo,Scytalopus atratus,"Hellmayr, 1922",R,LC,NA,Northern White-crowned Tapaculo,NA,22729245
4916,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Bolivian Tapaculo,Scytalopus bolivianus,"Allen, 1889",R,LC,NA,"Bolivian White-crowned Tapaculo, Southern White-crowned Tapaculo",NA,22729251
4917,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Silvery-fronted Tapaculo,Scytalopus argentifrons,"Ridgway, 1891",R,LC,NA,NA,NA,22703510
4918,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Tacarcuna Tapaculo,Scytalopus panamensis,"Chapman, 1915",R,VU,NA,Pale-throated Tapaculo,NA,22703501
4919,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Choco Tapaculo,Scytalopus chocoensis,"Krabbe & Schulenberg, 1997",R,LC,NA,Chocó Tapaculo,NA,22729076
4920,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Magdalena Tapaculo,Scytalopus rodriguezi,"Krabbe, Salaman, Cortés, Quevedo, Ortega & Cadena, 2005",R,EN,NA,Upper Magdalena Tapaculo,NA,22734661
4921,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Stiles's Tapaculo,Scytalopus stilesi,"Cuervo, Cadena, Krabbe & Renjifo, 2005",R,LC,NA,NA,NA,22734658
4922,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Ecuadorian Tapaculo,Scytalopus robbinsi,"Krabbe & Schulenberg, 1997",R,EN,NA,El Oro Tapaculo,NA,22733280
4923,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Tatamá Tapaculo,Scytalopus alvarezlopezi,"Stiles et al., 2017",R,NT,NA,NA,"A new species of tapaculo, Tatamá Tapaculo Scytalopus alvarezlopezi, is accepted after the description (Stiles et al. 2017) that indicates that the voice is highly distinctive, being a protracted series of short trills, entirely unlike other related",155256104
4924,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Narino Tapaculo,Scytalopus vicinior,"Zimmer, 1939",R,LC,NA,NA,NA,22703505
4925,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Brown-rumped Tapaculo,Scytalopus latebricola,"Bangs, 1899",R,NT,NA,NA,NA,22703513
4926,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Merida Tapaculo,Scytalopus meridanus,"Hellmayr, 1922",R,LC,NA,NA,NA,22736285
4927,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Perija Tapaculo,Scytalopus perijanus,"Avendaño, Cuervo, López, Gutiérrez Pinto, Cortés & Cadena, 2015",R,VU,NA,NA,Scytalopus perijanus (del Hoyo and Collar 2016) is recognised as a species following work by Avendaño et al. (2015).,103661232
4928,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Caracas Tapaculo,Scytalopus caracae,"Hellmayr, 1922",R,LC,NA,NA,NA,22729265
4929,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Spillmann's Tapaculo,Scytalopus spillmanni,"Stresemann, 1937",R,LC,NA,NA,NA,22729270
4930,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Chusquea Tapaculo,Scytalopus parkeri,"Krabbe & Schulenberg, 1997",R,LC,NA,NA,NA,22733277
4931,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Magellanic Tapaculo,Scytalopus magellanicus,"(Gmelin, 1789)",R,LC,NA,NA,NA,22730463
4932,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Pale-bellied Tapaculo,Scytalopus griseicollis,"(Lafresnaye, 1840)",R,LC,NA,"Andean Tapaculo, Rufous-rumped Tapaculo",NA,22729291
4933,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Neblina Tapaculo,Scytalopus altirostris,"J.T. Zimmer, 1939",R,LC,NA,Neblina Tapaculo  ,NA,22733261
4934,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Ancash Tapaculo,Scytalopus affinis,"J.T. Zimmer, 1939",R,LC,NA,Ancash Tapaculo     ,NA,22733255
4935,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Vilcabamba Tapaculo,Scytalopus urubambae,"J.T. Zimmer, 1939",R,LC,NA,NA,NA,22733286
4936,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Puna Tapaculo,Scytalopus simonsi,"Chubb, 1917",R,LC,NA,NA,NA,22729298
4937,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Zimmer's Tapaculo,Scytalopus zimmeri,"Bond & Meyer de Schauensee, 1940",R,LC,NA,Zimmer's Tapaculo ,NA,22733291
4938,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Tschudi's Tapaculo,Scytalopus acutirostris,"(Tschudi, 1844)",R,LC,NA,Sharp-billed Tapaculo,NA,22729275
4939,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,White-browed Tapaculo,Scytalopus superciliaris,"Cabanis, 1883",R,LC,NA,NA,NA,22703524
4940,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Dusky Tapaculo,Scytalopus fuscus,"Gould, 1837",R,LC,NA,NA,NA,22729286
4941,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Paramo Tapaculo,Scytalopus opacus,"Zimmer, 1941",R,LC,NA,NA,Scytalopus opacus (del Hoyo and Collar 2016) previously listed as Scytalopus opaca.,22736482
4942,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Paramillo Tapaculo,Scytalopus canus,"Chapman, 1915",R,EN,NA,NA,NA,22736477
4943,PASSERIFORMES,Rhinocryptidae,Tapaculos,Scytalopodinae,NA,Diademed Tapaculo,Scytalopus schulenbergi,"Whitney, 1994",R,LC,NA,NA,NA,22724472
4944,PASSERIFORMES,Formicariidae,Ground-antbirds,NA,NA,Rufous-capped Antthrush,Formicarius colma,"Boddaert, 1783",R,LC,NA,NA,NA,22703197
4945,PASSERIFORMES,Formicariidae,Ground-antbirds,NA,NA,Mayan Antthrush,Formicarius moniliger,"Sclater, 1857",R,LC,NA,NA,"Formicarius analis and F. moniliger (del Hoyo and Collar 2016) were previously lumped as F. analis following AOU (1998 & supplements), SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103661247
4946,PASSERIFORMES,Formicariidae,Ground-antbirds,NA,NA,Black-faced Antthrush,Formicarius analis,"(D'Orbigny & Lafresnaye, 1837)",R,LC,NA,NA,"Formicarius analis and F. moniliger (del Hoyo and Collar 2016) were previously lumped as F. analis following AOU (1998 & supplements), SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103661243
4947,PASSERIFORMES,Formicariidae,Ground-antbirds,NA,NA,Rufous-fronted Antthrush,Formicarius rufifrons,"Blake, 1957",R,NT,NA,NA,NA,22703203
4948,PASSERIFORMES,Formicariidae,Ground-antbirds,NA,NA,Black-headed Antthrush,Formicarius nigricapillus,"Ridgway, 1893",R,LC,NA,NA,NA,22703206
4949,PASSERIFORMES,Formicariidae,Ground-antbirds,NA,NA,Rufous-breasted Antthrush,Formicarius rufipectus,"Salvin, 1866",R,LC,NA,NA,NA,22703209
4950,PASSERIFORMES,Formicariidae,Ground-antbirds,NA,NA,Short-tailed Antthrush,Chamaeza campanisona,"(Lichtenstein, 1823)",R,LC,NA,NA,NA,22703212
4951,PASSERIFORMES,Formicariidae,Ground-antbirds,NA,NA,Striated Antthrush,Chamaeza nobilis,"Gould, 1855",R,LC,NA,NA,NA,22703215
4952,PASSERIFORMES,Formicariidae,Ground-antbirds,NA,NA,Cryptic Antthrush,Chamaeza meruloides,"Vigors, 1825",R,LC,NA,Such's Antthrush,NA,22703221
