"","countrynum","statenum","route","routename","active","latitude","longitude","stratum","bcr","routetypeid","routetypedetailid","regionname"
"232",840,47,9,"LITTLETON",1,42.5199697,-71.5305739,12,30,1,1,"MASSACHUSETTS"
"233",840,47,14,"BELCHERTOWN",1,42.2697823,-72.3589728,12,30,1,1,"MASSACHUSETTS"
"234",840,47,16,"S BARRE",1,42.3839807,-72.0992679,12,30,1,1,"MASSACHUSETTS"
"235",840,47,17,"N ORANGE",1,42.6138086,-72.2798896,27,14,1,1,"MASSACHUSETTS"
"236",840,47,19,"CHESTERFIELD",1,42.3761743,-72.8474923,27,14,1,1,"MASSACHUSETTS"
"237",840,47,112,"HOLDEN",1,42.4447746,-71.8486346,12,30,1,1,"MASSACHUSETTS"
"238",840,49,17,"BEAR LAKE",1,44.4308,-86.1283614,20,12,1,1,"MICHIGAN"
"239",840,49,18,"SCOTTVILLE",1,43.9040607,-86.2186454,20,23,1,1,"MICHIGAN"
"240",840,49,19,"BIG BLUE LK",1,43.4369027,-86.2366709,20,23,1,1,"MICHIGAN"
"241",840,49,22,"NEW TROY",1,41.8738037,-86.5500939,16,23,1,1,"MICHIGAN"
"242",840,49,32,"NASHVILLE",1,42.5960376,-85.134166,16,23,1,1,"MICHIGAN"
"243",840,49,35,"GALESBURG",1,42.2526585,-85.4136135,16,23,1,1,"MICHIGAN"
"244",840,49,38,"REMUS",1,43.5961937,-85.1256579,20,23,1,1,"MICHIGAN"
"245",840,49,39,"MOTTVILLE",1,41.7653686,-85.7505398,16,23,1,1,"MICHIGAN"
"246",840,49,50,"NO BRADLEY",1,43.72725,-84.4869421,20,23,1,1,"MICHIGAN"
"247",840,49,52,"MAPLE RAPIDS",1,43.0899857,-84.6600329,16,23,1,1,"MICHIGAN"
"248",840,50,8,"LAKEVILLE",1,44.6596006,-93.3337301,32,22,1,1,"MINNESOTA"
"249",840,50,15,"PRINCETON",1,45.6049323,-93.8828669,20,23,1,1,"MINNESOTA"
"250",840,50,16,"OSSEO",1,45.1025755,-93.4714512,40,23,1,1,"MINNESOTA"
"251",840,50,25,"BACKUS",1,46.8020456,-94.5135819,20,12,1,1,"MINNESOTA"
"252",840,50,26,"PINE RIVER",1,46.754647,-94.365017,20,12,1,1,"MINNESOTA"
"253",840,50,28,"EVERGREEN",1,46.7456606,-95.4769368,20,23,1,1,"MINNESOTA"
"254",840,50,31,"HOVLAND",1,47.9338065,-89.9767373,28,12,1,1,"MINNESOTA"
"255",840,50,32,"LOCKPORT",1,47.7313654,-90.703063,28,12,1,1,"MINNESOTA"
